book,title
Harry Potter and the Order of the Phoenix,Griselda Marchbanks
Harry Potter and the Order of the Phoenix,Tiberius Ogden
Harry Potter and the Order of the Phoenix,Cassandra Trelawney
Harry Potter and the Order of the Phoenix,Marietta Edgecombe
Harry Potter and the Order of the Phoenix,Michael Corner
Harry Potter and the Order of the Phoenix,Zacharias Smith
Harry Potter and the Order of the Phoenix,Unidentified Gryffindor boy
Harry Potter and the Order of the Phoenix,Unidentified Gryffindor boy's friend
Harry Potter and the Order of the Phoenix,Curious Gryffindor Girl
Harry Potter and the Order of the Phoenix,Gargoyles at the staffroom entrance
Harry Potter and the Order of the Phoenix,Barnabas the Barmy
Harry Potter and the Order of the Phoenix,Marietta Edgecombe's father
Harry Potter and the Order of the Phoenix,Marietta Edgecombe's mother
Harry Potter and the Order of the Phoenix,Cho Chang's father
Harry Potter and the Order of the Phoenix,Ladislaw Zamojski
Harry Potter and the Order of the Phoenix,Karkus
Harry Potter and the Order of the Phoenix,Karkus' wife
Harry Potter and the Order of the Phoenix,Golgomath
Harry Potter and the Order of the Phoenix,Tenebrus
Harry Potter and the Order of the Phoenix,Neville Longbottom's grandfather
Harry Potter and the Order of the Phoenix,Andrew Kirke
Harry Potter and the Order of the Phoenix,Jack Sloper
Harry Potter and the Order of the Phoenix,Everard
Harry Potter and the Order of the Phoenix,Dilys Derwent
Harry Potter and the Order of the Phoenix,Elfrida Cragg
Harry Potter and the Order of the Phoenix,Dexter Fortescue
Harry Potter and the Order of the Phoenix,Gimlet-eyed Hogwarts Headmistress
Harry Potter and the Order of the Phoenix,"Dummy at Purge and Dowse, Ltd"
Harry Potter and the Order of the Phoenix,St Mungo's Welcome Witch
Harry Potter and the Order of the Phoenix,Dai Llewellyn
Harry Potter and the Order of the Phoenix,Hippocrates Smethwyck
Harry Potter and the Order of the Phoenix,Augustus Pye
Harry Potter and the Order of the Phoenix,Urquhart Rackharrow
Harry Potter and the Order of the Phoenix,Unidentified man in Mr Weasley's ward
Harry Potter and the Order of the Phoenix,Unidentified women in Mr Weasley's ward
Harry Potter and the Order of the Phoenix,Willy Widdershins
Harry Potter and the Order of the Phoenix,Portrait of a Healer in St Mungo's Hospital
Harry Potter and the Order of the Phoenix,Miriam Strout
Harry Potter and the Order of the Phoenix,Janus Thickey
Harry Potter and the Order of the Phoenix,Agnes's son
Harry Potter and the Order of the Phoenix,Puddifoot
Harry Potter and the Order of the Phoenix,Roger Davies' date
Harry Potter and the Order of the Phoenix,Summerby
Harry Potter and the Order of the Phoenix,Tobias Snape
Harry Potter and the Order of the Phoenix,Eileen Prince
Harry Potter and the Order of the Phoenix,John Dawlish
Harry Potter and the Order of the Phoenix,Stebbins (Marauder-era)
Harry Potter and the Order of the Phoenix,Graham Montague's father
Harry Potter and the Order of the Phoenix,Graham Montague's mother
Harry Potter and the Order of the Phoenix,Bradley
Harry Potter and the Order of the Phoenix,Grawp
Harry Potter and the Order of the Phoenix,Magorian
Harry Potter and the Order of the Phoenix,Unidentified hard-faced grey centaur
Harry Potter and the Order of the Phoenix,Chambers
Harry Potter and the Order of the Phoenix,Eddie Carmichael
Harry Potter and the Order of the Phoenix,Harold Dingle
Harry Potter and the Order of the Phoenix,Daphne Greengrass
Harry Potter and the Order of the Phoenix,Tofty
Harry Potter and the Order of the Phoenix,Pierre Bonaccord
Harry Potter and the Order of the Phoenix,Sixth-Year Inquisitorial Squad Member
Harry Potter and the Order of the Phoenix,Unidentified centaur
Harry Potter and the Order of the Phoenix,Unidentified bearded centaur
Harry Potter and the Order of the Phoenix,Unidentified dun-coloured centaur
Harry Potter and the Order of the Phoenix,Unidentified snow white centaur
Harry Potter and the Order of the Phoenix,Unidentified Thestrals
Harry Potter and the Order of the Phoenix,Jugson
Harry Potter and the Order of the Phoenix,Unidentified female Seer
Harry Potter and the Order of the Phoenix,Unidentified male Seer
Harry Potter and the Order of the Phoenix,Williamson
Harry Potter and the Order of the Phoenix,Dr Ubbly's Oblivious Unction
Harry Potter and the Order of the Phoenix,Pandora Lovegood
Harry Potter and the Order of the Phoenix,Gregory Goyle's mother
Harry Potter and the Order of the Phoenix,Harry Potter
Harry Potter and the Order of the Phoenix,Alice Farrell
Harry Potter and the Order of the Phoenix,Butterbeer Chewy Candy
Harry Potter and the Order of the Phoenix,Muthead
Harry Potter and the Philosopher's Stone,Vernon Dursley
Harry Potter and the Philosopher's Stone,Petunia Dursley
Harry Potter and the Philosopher's Stone,Dudley Dursley
Harry Potter and the Philosopher's Stone,Lily Potter (I)
Harry Potter and the Philosopher's Stone,James Potter (I)
Harry Potter and the Philosopher's Stone,Harry Potter
Harry Potter and the Philosopher's Stone,Violet-cloaked wizard
Harry Potter and the Philosopher's Stone,Tom Riddle
Harry Potter and the Philosopher's Stone,Jim McGuffin
Harry Potter and the Philosopher's Stone,Ted
Harry Potter and the Philosopher's Stone,Vernon Dursley's secretary
Harry Potter and the Philosopher's Stone,Albus Dumbledore
Harry Potter and the Philosopher's Stone,Minerva McGonagall
Harry Potter and the Philosopher's Stone,Dedalus Diggle
Harry Potter and the Philosopher's Stone,Poppy Pomfrey
Harry Potter and the Philosopher's Stone,Rubeus Hagrid
Harry Potter and the Philosopher's Stone,Sirius Black
Harry Potter and the Philosopher's Stone,Marjorie Dursley
Harry Potter and the Philosopher's Stone,Arabella Figg
Harry Potter and the Philosopher's Stone,Mr Tibbles
Harry Potter and the Philosopher's Stone,Snowy
Harry Potter and the Philosopher's Stone,Mr Paws
Harry Potter and the Philosopher's Stone,Tufty
Harry Potter and the Philosopher's Stone,Yvonne
Harry Potter and the Philosopher's Stone,Piers Polkiss
Harry Potter and the Philosopher's Stone,Piers Polkiss's mother
Harry Potter and the Philosopher's Stone,Keeper of the reptile house
Harry Potter and the Philosopher's Stone,Zoo director
Harry Potter and the Philosopher's Stone,Boa constrictor at the zoo
Harry Potter and the Philosopher's Stone,Gorilla at the zoo
Harry Potter and the Philosopher's Stone,Dennis
Harry Potter and the Philosopher's Stone,Malcolm
Harry Potter and the Philosopher's Stone,Gordon
Harry Potter and the Philosopher's Stone,Dudley Dursley's parrot
Harry Potter and the Philosopher's Stone,Dudley Dursley's tortoise
Harry Potter and the Philosopher's Stone,Owner of the Railview Hotel
Harry Potter and the Philosopher's Stone,Rowboat owner
Harry Potter and the Philosopher's Stone,Merlin
Harry Potter and the Philosopher's Stone,Evans sisters' father
Harry Potter and the Philosopher's Stone,Evans sisters' mother
Harry Potter and the Philosopher's Stone,McKinnon family
Harry Potter and the Philosopher's Stone,Bones family
Harry Potter and the Philosopher's Stone,Prewett family
Harry Potter and the Philosopher's Stone,Cornelius Fudge
Harry Potter and the Philosopher's Stone,Miranda Goshawk
Harry Potter and the Philosopher's Stone,Bathilda Bagshot
Harry Potter and the Philosopher's Stone,Adalbert Waffling
Harry Potter and the Philosopher's Stone,Emeric Switch
Harry Potter and the Philosopher's Stone,Phyllida Spore
Harry Potter and the Philosopher's Stone,Arsenius Jigger
Harry Potter and the Philosopher's Stone,Newton Scamander
Harry Potter and the Philosopher's Stone,Quentin Trimble
Harry Potter and the Philosopher's Stone,Tom
Harry Potter and the Philosopher's Stone,Doris Crockford
Harry Potter and the Philosopher's Stone,Quirinus Quirrell
Harry Potter and the Philosopher's Stone,Gringotts Head Goblin
Harry Potter and the Philosopher's Stone,Griphook
Harry Potter and the Philosopher's Stone,Madam Malkin's Robes for All Occasions
Harry Potter and the Philosopher's Stone,Draco Malfoy
Harry Potter and the Philosopher's Stone,Lucius Malfoy
Harry Potter and the Philosopher's Stone,Narcissa Malfoy
Harry Potter and the Philosopher's Stone,Vindictus Viridian
Harry Potter and the Philosopher's Stone,Hedwig
Harry Potter and the Philosopher's Stone,Garrick Ollivander
Harry Potter and the Philosopher's Stone,King's Cross Station guard
Harry Potter and the Philosopher's Stone,Ginevra Weasley
Harry Potter and the Philosopher's Stone,Molly Weasley
Harry Potter and the Philosopher's Stone,Percy Weasley
Harry Potter and the Philosopher's Stone,Fred Weasley
Harry Potter and the Philosopher's Stone,George Weasley
Harry Potter and the Philosopher's Stone,Ronald Weasley
Harry Potter and the Philosopher's Stone,Neville Longbottom
Harry Potter and the Philosopher's Stone,Augusta Longbottom
Harry Potter and the Philosopher's Stone,Lee Jordan
Harry Potter and the Philosopher's Stone,Lee Jordan's tarantula
Harry Potter and the Philosopher's Stone,William Weasley
Harry Potter and the Philosopher's Stone,Charles Weasley
Harry Potter and the Philosopher's Stone,Arthur Weasley
Harry Potter and the Philosopher's Stone,Peter Pettigrew
Harry Potter and the Philosopher's Stone,Trolley witch
Harry Potter and the Philosopher's Stone,Cornelius Agrippa
Harry Potter and the Philosopher's Stone,Ptolemy
Harry Potter and the Philosopher's Stone,Gellert Grindelwald
Harry Potter and the Philosopher's Stone,Nicolas Flamel
Harry Potter and the Philosopher's Stone,Morgan le Fay
Harry Potter and the Philosopher's Stone,Hengist of Woodcroft
Harry Potter and the Philosopher's Stone,Alberic Grunnion
Harry Potter and the Philosopher's Stone,Circe
Harry Potter and the Philosopher's Stone,Phillipus von Hohenheim
Harry Potter and the Philosopher's Stone,Cliodna
Harry Potter and the Philosopher's Stone,Bertie Bott
Harry Potter and the Philosopher's Stone,Trevor
Harry Potter and the Philosopher's Stone,Hermione Granger
Harry Potter and the Philosopher's Stone,Vincent Crabbe
Harry Potter and the Philosopher's Stone,Gregory Goyle
Harry Potter and the Philosopher's Stone,Hermes
Harry Potter and the Philosopher's Stone,Fat Friar
Harry Potter and the Philosopher's Stone,Peeves
Harry Potter and the Philosopher's Stone,Sorting Hat
Harry Potter and the Philosopher's Stone,Hannah Abbott
Harry Potter and the Philosopher's Stone,Susan Bones
Harry Potter and the Philosopher's Stone,Terry Boot
Harry Potter and the Philosopher's Stone,Mandy Brocklehurst
Harry Potter and the Philosopher's Stone,Lavender Brown
Harry Potter and the Philosopher's Stone,Millicent Bulstrode
Harry Potter and the Philosopher's Stone,Justin Finch-Fletchley
Harry Potter and the Philosopher's Stone,Seamus Finnigan
Harry Potter and the Philosopher's Stone,Morag MacDougal
Harry Potter and the Philosopher's Stone,Lily Moon
Harry Potter and the Philosopher's Stone,Theodore Nott
Harry Potter and the Philosopher's Stone,Pansy Parkinson
Harry Potter and the Philosopher's Stone,Padma Patil
Harry Potter and the Philosopher's Stone,Parvati Patil
Harry Potter and the Philosopher's Stone,Sally-Anne Perks
Harry Potter and the Philosopher's Stone,Dean Thomas
Harry Potter and the Philosopher's Stone,Lisa Turpin
Harry Potter and the Philosopher's Stone,Blaise Zabini
Harry Potter and the Philosopher's Stone,Nicholas de Mimsy-Porpington
Harry Potter and the Philosopher's Stone,Bloody Baron
Harry Potter and the Philosopher's Stone,Seamus Finnigan's father
Harry Potter and the Philosopher's Stone,Seamus Finnigan's mother
Harry Potter and the Philosopher's Stone,Algie Longbottom
Harry Potter and the Philosopher's Stone,Enid (disambiguation)
Harry Potter and the Philosopher's Stone,Severus Snape
Harry Potter and the Philosopher's Stone,Argus Filch
Harry Potter and the Philosopher's Stone,Rolanda Hooch
Harry Potter and the Philosopher's Stone,Fat Lady
Harry Potter and the Philosopher's Stone,Mrs Norris
Harry Potter and the Philosopher's Stone,Pomona Sprout
Harry Potter and the Philosopher's Stone,Cuthbert Binns
Harry Potter and the Philosopher's Stone,Emeric the Evil
Harry Potter and the Philosopher's Stone,Uric the Oddball
Harry Potter and the Philosopher's Stone,Filius Flitwick
Harry Potter and the Philosopher's Stone,Fang
Harry Potter and the Philosopher's Stone,Oliver Wood
Harry Potter and the Philosopher's Stone,Helena Ravenclaw
Harry Potter and the Philosopher's Stone,Draco Malfoy's eagle owl
Harry Potter and the Philosopher's Stone,Gregory the Smarmy
Harry Potter and the Philosopher's Stone,Fluffy
Harry Potter and the Philosopher's Stone,Baruffio
Harry Potter and the Philosopher's Stone,Quirinus Quirrell's first mountain troll
Harry Potter and the Philosopher's Stone,Angelina Johnson
Harry Potter and the Philosopher's Stone,Marcus Flint
Harry Potter and the Philosopher's Stone,Alicia Spinnet
Harry Potter and the Philosopher's Stone,Katie Bell
Harry Potter and the Philosopher's Stone,Miles Bletchley
Harry Potter and the Philosopher's Stone,Adrian Pucey
Harry Potter and the Philosopher's Stone,Terence Higgs
Harry Potter and the Philosopher's Stone,Irma Pince
Harry Potter and the Philosopher's Stone,Perenelle Flamel
Harry Potter and the Philosopher's Stone,Norberta
Harry Potter and the Philosopher's Stone,Charlie Weasley's colleagues
Harry Potter and the Philosopher's Stone,Ronan
Harry Potter and the Philosopher's Stone,Bane
Harry Potter and the Philosopher's Stone,Firenze
Harry Potter and the Philosopher's Stone,Unicorn
Harry Potter and the Philosopher's Stone,Elfric the Eager
Harry Potter and the Philosopher's Stone,Hogwarts Giant Squid
Harry Potter and the Philosopher's Stone,Quirinus Quirrell's second mountain troll
Harry Potter and the Philosopher's Stone,King's Cross Station
Harry Potter and the Philosopher's Stone,Wizardkind
Harry Potter and the Philosopher's Stone,Harry Potter
Harry Potter and the Philosopher's Stone,Alice Farrell
Harry Potter and the Philosopher's Stone,Butterbeer Chewy Candy
Harry Potter and the Philosopher's Stone,Muthead
Harry Potter and the Prisoner of Azkaban,Wendelin the Weird
Harry Potter and the Prisoner of Azkaban,Unidentified Hogwarts owl
Harry Potter and the Prisoner of Azkaban,Fleetwood
Harry Potter and the Prisoner of Azkaban,Ripper
Harry Potter and the Prisoner of Azkaban,Fubster
Harry Potter and the Prisoner of Azkaban,Stanley Shunpike
Harry Potter and the Prisoner of Azkaban,Ernest Prang
Harry Potter and the Prisoner of Azkaban,Dishevelled Wizard
Harry Potter and the Prisoner of Azkaban,Marsh
Harry Potter and the Prisoner of Azkaban,Prime Minister
Harry Potter and the Prisoner of Azkaban,Florean Fortescue
Harry Potter and the Prisoner of Azkaban,Cassandra Vablatsky
Harry Potter and the Prisoner of Azkaban,Magical Menagerie saleswoman
Harry Potter and the Prisoner of Azkaban,Crookshanks
Harry Potter and the Prisoner of Azkaban,Remus Lupin
Harry Potter and the Prisoner of Azkaban,Silvanus Kettleburn
Harry Potter and the Prisoner of Azkaban,Dementor
Harry Potter and the Prisoner of Azkaban,Cadogan
Harry Potter and the Prisoner of Azkaban,Sybill Trelawney
Harry Potter and the Prisoner of Azkaban,Bilius
Harry Potter and the Prisoner of Azkaban,Hogwarts Hippogriff herd
Harry Potter and the Prisoner of Azkaban,Buckbeak
Harry Potter and the Prisoner of Azkaban,Binky
Harry Potter and the Prisoner of Azkaban,Remus Lupin's Grindylow
Harry Potter and the Prisoner of Azkaban,Cedric Diggory
Harry Potter and the Prisoner of Azkaban,Cho Chang
Harry Potter and the Prisoner of Azkaban,Roger Davies
Harry Potter and the Prisoner of Azkaban,Unidentified Committee for the Disposal of Dangerous Creatures member
Harry Potter and the Prisoner of Azkaban,Walden Macnair
Harry Potter and the Prisoner of Azkaban,Lyall Lupin
Harry Potter and the Prisoner of Azkaban,Hope Howell
Harry Potter and the Prisoner of Azkaban,Pigwidgeon
Harry Potter and the Prisoner of Azkaban,Unidentified Muggle woman (II)
Harry Potter and the Prisoner of Azkaban,Boggart
Harry Potter and the Prisoner of Azkaban,Unidentified Gryffindor girls
Harry Potter and the Prisoner of Azkaban,Hinkypunk
Harry Potter and the Prisoner of Azkaban,Davey Gudgeon
Harry Potter and the Prisoner of Azkaban,Ambrosius Flume
Harry Potter and the Prisoner of Azkaban,Ambrosius Flume's wife
Harry Potter and the Prisoner of Azkaban,Rosmerta
Harry Potter and the Prisoner of Azkaban,Peter Pettigrew's mother
Harry Potter and the Prisoner of Azkaban,Derek
Harry Potter and the Prisoner of Azkaban,Unnamed First Year
Harry Potter and the Prisoner of Azkaban,Unnamed Slytherin Fifth Year
Harry Potter and the Prisoner of Azkaban,Septima Vector
Harry Potter and the Prisoner of Azkaban,Security Troll
Harry Potter and the Prisoner of Azkaban,Cassius Warrington
Harry Potter and the Prisoner of Azkaban,Graham Montague
Harry Potter and the Prisoner of Azkaban,Peregrine Derrick
Harry Potter and the Prisoner of Azkaban,Lucian Bole
Harry Potter and the Prisoner of Azkaban,Harry Potter
Harry Potter and the Prisoner of Azkaban,Alice Farrell
Harry Potter and the Prisoner of Azkaban,Butterbeer Chewy Candy
Harry Potter and the Prisoner of Azkaban,Muthead
